ngram,count
A bantering,1
A black,1
A faint,1
A little,3
A long,1
A snake,1
A tall,1
AFTERNOON WE,1
AFTERNOON of,1
AS I,1
AUTUMN COLOUR,1
After Antonia,2
After I,1
After Mr,1
After he,1
After that,1
After the,2
After weeks,1
Aint you,1
All about,2
All the,3
All those,1
Almost every,1
Alone I,1
Am a,1
Ambrosch Otto,1
Ambrosch and,1
Ambrosch he,1
Ambrosch needed,1
Ambrosch on,1
Ambrosch--came out,1
Ambroz--they called,1
America I,1
America They,1
America he,1
And I,1
And all,1
And always,1
And the,1
And there,1
Another driver,1
Another lantern,1
Antonia Antonia,1
Antonia I,1
Antonia IV,1
Antonia She,2
Antonia Shimerda,1
Antonia and,8
Antonia assured,1
Antonia barefooted,1
Antonia beside,1
Antonia broke,1
Antonia called,1
Antonia came,2
Antonia for,1
Antonia had,2
Antonia he,1
Antonia how,1
Antonia laughed,1
Antonia loved,1
Antonia on,1
Antonia pointed,1
Antonia reached,1
Antonia rode,1
Antonia said,2
Antonia scream,1
Antonia screamed,1
Antonia seemed,1
Antonia should,1
Antonia standing,1
Antonia starting,1
Antonia suggested,1
Antonia that,1
Antonia told,1
Antonia took,1
Antonia translated,1
Antonia whispered,2
Antonia with,2
Antonia--they accented,1
Antonias dress,1
Antonias excitement,1
Antonias father,1
Antonias hair,1
Arabian sheik,1
Arctic explorers,1
Are you,1
Arent you,1
As Antonia,1
As I,4
As far,1
As he,2
As she,1
As soon,1
As the,1
As we,6
At a,1
At any,1
At his,1
At last,1
At length,1
At midnight,1
At night,1
At that,1
Austria to,1
Austrian who,1
Austrians Grandmother,1
Before I,1
Before the,3
Before we,2
Beside a,1
Besides the,1
Between that,1
Beyond Chicago,1
Beyond the,2
Big white,1
Bismarck a,1
Black Hawk,7
Black Hawk--until,1
Blue Ridge,1
Blue sky,1
Bohemian He,1
Bohemian I,1
Bohemian Presently,1
Bohemian She,1
Bohemian and,1
Bohemian family,3
Bohemian neighbours,2
Bohemian woman,1
Bohemians has,1
Bohemie It,1
Bohunk for,1
Book of,1
Both rooms,1
